ingredient_id,unit_norm,example_recipe_id,count_occurrences,example_qty,reason
heavy_cream,cup,creamy-garlic-chicken,1,1/2,missing-portion
hot-dog-buns,count,bun-steads,1,6,missing-portion
ketchup,cup,barbecued-hamburger,1,3/4,missing-portion
kidney-beans,can,mrs-burrows-chili,1,4,missing-portion
leek,cup,creamy-leek-potato-soup,1,1/2,missing-portion
lemon,count,lemon-cake,1,1,missing-portion
lemon,tbsp,lemon-cake,2,2 1/2,missing-portion
lime,count,turmeric-chicken-curry,1,1,missing-portion
macaroni,cup,mac-and-cheese,2,4,missing-portion
mandarin-oranges,can,orange-sherbet-salad,1,1,missing-portion
mayonnaise,cup,bun-steads,1,1/3,missing-portion
milk,can,chicken-roll-ups,1,1/2,missing-portion
milk,cup,basic-roll-dough,6,1,missing-portion
milk,tbsp,nanaimo-bars,1,6,missing-portion
mushrooms,cup,chicken-rice-casserole,1,1/2,missing-portion
nacho-chips,bag,mexican-chicken,1,1/2,missing-portion
noodles,oz,veggie-teriyaki-stir-fry-noodles,1,4,missing-nutrition-density
oat-milk,cup,blintzes,1,3/4,missing-portion
onion,count,barbecued-hamburger,5,1,missing-portion
onion,cup,italian-soup,4,1,missing-portion
onion,tbsp,collards-canadian-bacon,1,1,missing-portion
onion-flakes,tbsp,beef-noodles,1,1,missing-portion
orange-sherbet,pint,orange-sherbet-salad,1,1,missing-portion
paprika,tsp,chili-con-carne-turkey,2,1/2,missing-portion
parmesan_cheese,cup,creamy-garlic-chicken,2,1/2,missing-portion
parmesan_cheese,tbsp,creamy-garlic-chicken,1,4,missing-portion
peanut-butter,cup,gluten-free-peanut-butter-cookies,1,1,missing-portion
peanuts,cup,gluten-free-peanut-butter-cookies,1,1/2,missing-portion
pear-halves,pint,sweet-potatoes-pork-chops-pears,1,1,missing-portion
pimiento,tbsp,chicken-rice-casserole,1,2,missing-portion
pinto-beans,can,lorenes-vegetable-soup,1,1,missing-portion
pork-chop,count,sweet-potatoes-pork-chops-pears,1,4,missing-portion
potato,count,lorenes-vegetable-soup,1,3,missing-portion
potato,cup,creamy-leek-potato-soup,1,3,missing-portion
powdered-sugar,cup,lemon-cake,3,1,missing-portion
prepared-mustard,tbsp,barbecued-hamburger,1,1,missing-portion
psyllium-husk,tbsp,basic-roll-dough,1,1,missing-portion
pumpkin-puree,cup,vegan-pumpkin-bread,1,1 1/4,missing-portion
pumpkin-spice,tsp,vegan-pumpkin-bread,2,2,missing-portion
seasoned-salt,tbsp,slow-cooker-beef-stew,1,1,missing-portion
shallot,count,apple-cider-brisket,1,2,missing-portion
shredded-coconut,cup,nanaimo-bars,1,1,missing-portion
soy_sauce,tsp,creamy-garlic-chicken,1,1,missing-portion
stewed-tomatoes,can,chili-con-carne-turkey,1,1,missing-portion
sweet-pickles,tbsp,bun-steads,1,2,missing-portion
sweet-potato,count,sweet-potatoes-pork-chops-pears,1,4,missing-portion
sweet-potato,cup,baked-sweet-potatoes,1,4,missing-portion
tomato-paste,tbsp,slow-cooker-beef-stew,1,2,missing-portion
tomato-sauce,can,chili-con-carne-turkey,3,1,missing-portion
tomato-soup,can,mrs-burrows-chili,1,2,missing-portion
vanilla-extract,tsp,chocolate-chip-cookies-gf,8,1,missing-portion
vanilla-pudding-powder,tbsp,nanaimo-bars,1,5,missing-portion
vinegar,tbsp,barbecued-hamburger,1,1,missing-portion
water,cup,beef-noodles,8,6,missing-portion
wheat-flour,cup,basic-roll-dough,12,3 1/2,missing-portion
wheat-flour,tbsp,creamy-garlic-chicken,2,3,missing-portion
wheat-flour,tsp,baked-sweet-potatoes,1,1,missing-portion
whipped-cream,cup,orange-sherbet-salad,1,1,missing-portion
white-pepper,tsp,lorenes-vegetable-soup,1,1/2,missing-portion
white-sugar,cup,basic-roll-dough,7,1/4,missing-portion
xanthan-gum,tsp,basic-roll-dough,1,1,missing-portion
